# Each modeled lens, with all params
# xL,yL are lens positions relative to ALMA phase center
# thE is the Einstein radius in arcseconds
# eL is the lens ellipticity, with position angle phiL
# gamma is an external shear component, with position angle phi_g
#Source		lens	zL	zS	xL	dxL	yL	dyL	thE	dthE	eL	deL	phiL	dphiL	gamma	dgamma	phi_g	dphi_g
#------		---	--	--	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	--	---	degEofN	degEofN	---	---	degEofN	degEofN
SPT0020-51	A	0.693	4.123	-1.258	0.010	-2.240	0.011	0.614	0.007	0.405	0.025	12.4	1.7	0.112	0.011	47.1	2.5
SPT0020-51	B	0.693	4.123	-0.269	0.030	-2.692	0.008	0.171	0.010	0.582	0.075	94.3	3.6	0.000	0.000	0	0
SPT0027-50	A	0.360	3.444	-2.489	0.012	-1.729	0.008	0.638	0.007	0.232	0.029	3.4	4.0	0.148	0.011	62.4	1.8
SPT0027-50	B	0.360	3.444	-3.984	0.056	-1.182	0.067	0.316	0.013	0.547	0.047	14.5	2.7	0.000	0.000	0	0
SPT0027-50	C	0.360	3.444	-2.477	0.013	-0.341	0.011	0.119	0.004	0.356	0.046	77.2	5.8	0.000	0.000	0	0
SPT0103-45	A	0.740	3.090	-0.341	0.010	-2.436	0.010	0.880	0.003	0.113	0.009	87.0	1.3	0.000	0.000	0	0
SPT0109-47	A	0.360	3.614	-3.608	0.125	-1.700	0.038	1.304	0.033	0.657	0.058	118.8	6.2	0.170	0.013	53.5	2.7
SPT0109-47	B	0.360	3.614	-1.808	0.074	-0.725	0.031	0.930	0.025	0.525	0.031	6.0	7.0	0.000	0.000	0	0
SPT0109-47	C	0.360	3.614	-7.655	0.228	-4.658	0.183	0.839	0.021	0.593	0.044	96.2	5.3	0.000	0.000	0	0
SPT0113-46	A	nan	4.233	-0.143	0.009	0.683	0.010	1.157	0.010	0.278	0.011	83.7	0.8	0.000	0.000	0	0
SPT0113-46	B	nan	4.233	-1.110	0.019	1.631	0.019	0.439	0.012	0.082	0.026	150.6	7.5	0.000	0.000	0	0
SPT0113-46	C	nan	4.233	-1.934	0.099	3.075	0.098	0.258	0.019	0.503	0.051	17.8	4.9	0.000	0.000	0	0
SPT0125-47	A	0.305	2.515	-1.758	0.022	-0.942	0.013	1.011	0.002	0.395	0.012	22.7	0.7	0.025	0.005	97.0	5.1
SPT0125-50	A	0.510	3.957	-0.423	0.016	-4.255	0.016	0.984	0.005	0.396	0.011	40.3	0.3	0.000	0.000	0	0
SPT0128-51	A	nan	nan	-0.450	0.000	7.060	0.000	0.750	0.000	0.000	0.000	0.0	0.0	0.000	0.000	0	0
SPT0202-61	A	nan	5.018	-0.040	0.010	2.194	0.019	0.758	0.005	0.444	0.026	70.3	2.6	0.227	0.011	178.5	1.6
SPT0243-49	A	nan	5.702	-2.455	0.013	-2.014	0.011	0.327	0.003	0.552	0.048	135.6	1.0	0.000	0.000	0	0
SPT0300-46	A	nan	3.595	2.003	0.013	1.200	0.014	0.344	0.008	0.533	0.018	66.0	1.3	0.000	0.000	0	0
